Club,Country,Date,Elo,Level
Newcastle,ENG,2001-09-14,1712.6159667999998,1
Tottenham,ENG,2001-09-14,1673.36474609,1
Charlton,ENG,2001-09-14,1661.97851562,1
Everton,ENG,2001-09-14,1659.86938477,1
West Ham,ENG,2001-09-14,1651.03491211,1
Bolton,ENG,2001-09-14,1645.18249512,1
Southampton,ENG,2001-09-14,1645.17297363,1
Middlesbrough,ENG,2001-09-14,1643.54968262,1
Fulham,ENG,2001-09-14,1634.33154297,1
Derby,ENG,2001-09-14,1627.18505859,1
Blackburn,ENG,2001-09-14,1626.95263672,1
Leicester,ENG,2001-09-14,1604.66003418,1
Man United,ENG,2001-09-16,1855.90539551,1
Liverpool,ENG,2001-09-16,1837.67114258,1
Leeds,ENG,2001-09-16,1836.73352051,1
Arsenal,ENG,2001-09-16,1824.19970703,1
Chelsea,ENG,2001-09-16,1788.50952148,1
Aston Villa,ENG,2001-09-16,1736.94567871,1
Newcastle,ENG,2001-09-16,1722.6385498,1
Sunderland,ENG,2001-09-16,1722.2175292999998,1
Ipswich,ENG,2001-09-16,1720.05200195,1
Tottenham,ENG,2001-09-16,1673.36474609,1
Charlton,ENG,2001-09-16,1661.97851562,1
Southampton,ENG,2001-09-16,1654.95690918,1
Middlesbrough,ENG,2001-09-16,1652.69763184,1
Everton,ENG,2001-09-16,1652.21362305,1
West Ham,ENG,2001-09-16,1641.88684082,1
Bolton,ENG,2001-09-16,1635.39855957,1
Blackburn,ENG,2001-09-16,1626.95263672,1
Fulham,ENG,2001-09-16,1626.88037109,1
Derby,ENG,2001-09-16,1616.84838867,1
Leicester,ENG,2001-09-16,1614.99658203,1
Man United,ENG,2001-09-21,1855.32873535,1
Leeds,ENG,2001-09-21,1835.51525879,1
Liverpool,ENG,2001-09-21,1835.4909667999998,1
Arsenal,ENG,2001-09-21,1823.83312988,1
Chelsea,ENG,2001-09-21,1798.08251953,1
Newcastle,ENG,2001-09-21,1718.76660156,1
Aston Villa,ENG,2001-09-21,1715.89733887,1
Sunderland,ENG,2001-09-21,1709.28393555,1
Ipswich,ENG,2001-09-21,1705.92675781,1
Tottenham,ENG,2001-09-21,1674.20983887,1
Middlesbrough,ENG,2001-09-21,1657.63049316,1
Southampton,ENG,2001-09-21,1651.08496094,1
Charlton,ENG,2001-09-21,1650.5369873,1
Everton,ENG,2001-09-21,1648.34179688,1
West Ham,ENG,2001-09-21,1638.01489258,1
Bolton,ENG,2001-09-21,1633.43969727,1
Blackburn,ENG,2001-09-21,1625.61254883,1
Fulham,ENG,2001-09-21,1623.00842285,1
Derby,ENG,2001-09-21,1612.97644043,1
Leicester,ENG,2001-09-21,1602.31994629,1
Man United,ENG,2001-09-23,1861.6328125,1
Liverpool,ENG,2001-09-23,1838.45935059,1
Leeds,ENG,2001-09-23,1835.51525879,1
Arsenal,ENG,2001-09-23,1817.47546387,1
Chelsea,ENG,2001-09-23,1798.08251953,1
Newcastle,ENG,2001-09-23,1718.76660156,1
Aston Villa,ENG,2001-09-23,1715.89733887,1
Sunderland,ENG,2001-09-23,1705.7253417999998,1
Ipswich,ENG,2001-09-23,1699.62255859,1
Tottenham,ENG,2001-09-23,1671.24145508,1
Middlesbrough,ENG,2001-09-23,1657.63049316,1
Charlton,ENG,2001-09-23,1654.09558105,1
Southampton,ENG,2001-09-23,1651.08496094,1
Everton,ENG,2001-09-23,1641.49230957,1
Bolton,ENG,2001-09-23,1639.79748535,1
West Ham,ENG,2001-09-23,1638.01489258,1
Blackburn,ENG,2001-09-23,1632.46191406,1
Fulham,ENG,2001-09-23,1624.43359375,1
Derby,ENG,2001-09-23,1612.97644043,1
Leicester,ENG,2001-09-23,1600.89465332,1
Man United,ENG,2001-09-28,1861.546875,1
Leeds,ENG,2001-09-28,1849.90087891,1
Liverpool,ENG,2001-09-28,1845.62329102,1
Arsenal,ENG,2001-09-28,1815.65795898,1
Chelsea,ENG,2001-09-28,1800.75866699,1
Aston Villa,ENG,2001-09-28,1730.60119629,1
Ipswich,ENG,2001-09-28,1712.89453125,1
Newcastle,ENG,2001-09-28,1712.75939941,1
Sunderland,ENG,2001-09-28,1709.86816406,1
Tottenham,ENG,2001-09-28,1675.38427734,1
